system:index,altitude,carbon_density,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_vec,distance_villages,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
1_1_1_1_1816,413,19.104437,983,840,4472,983,7189,1086,4625,1,21,-13.067343280444621,-70.34212916533708,0,-7.0,1571.5,1224.5,347.0,5.7,2.8913834,
1_1_1_1_1817,265,17.115278,7004,0,33136,7004,5318,9643,7299,1,24,-12.962240392202636,-70.06005816612355,0,-20.0,1571.5,1224.5,347.0,13.2,1.5007049,
1_1_1_1_1818,298,4.326919,12543,2076,12543,23381,8077,1682,12976,1,31,-12.876900440211282,-70.53706358199102,0,-11.0,1571.5,1224.5,347.0,7.5,3.3788471,
1_1_1_1_1819,408,1.7923722,9130,2598,9216,21225,7520,9046,2092,1,21,-12.987393220157983,-70.61881027284589,0,1.0,1571.5,1224.5,347.0,1.5,5.1980305,
1_1_1_1_1820,258,25.333916,793,0,33189,793,12009,3249,590,1,24,-12.901154952882509,-70.05556658970295,1,-14.0,1571.5,1224.5,347.0,10.2,1.7016532,
1_1_1_1_1821,244,8.816151,2989,2961,37095,2989,17534,1283,5406,1,42,-12.851747612255936,-70.02502387004289,0,-12.0,1571.5,1224.5,347.0,15.0,1.0422349,
1_1_1_1_1822,354,24.864792,8962,2069,8997,24607,6727,5337,1870,1,31,-12.9559521852138,-70.60623385886822,0,-6.0,1571.5,1224.5,347.0,4.0,6.2306337,
1_1_1_1_1823,351,98.1667,12528,0,12543,27954,3218,4459,5519,1,31,-12.926307780837856,-70.62509847983473,1,-9.5,1571.5,1224.5,347.0,6.0,5.428372,
1_1_1_1_1824,253,58.481453,5126,0,38098,5126,7987,7315,5137,1,24,-12.93798587953141,-70.0115491407811,0,0.0,1571.5,1224.5,347.0,0.0,0.92740995,
1_1_1_1_1825,428,61.86692,10246,3386,10344,19693,8191,11022,4134,1,21,-13.002664579988016,-70.62959005625532,0,-5.5,1571.5,1224.5,347.0,4.9,6.952882,
1_1_1_1_1826,224,25.43712,25434,25353,42431,25434,39544,16576,3969,1,42,-12.647830042760804,-69.99987104208755,0,1.0,1571.5,1224.5,347.0,2.1,7.6314034,
1_1_1_1_1827,239,56.582108,12008,0,46402,12008,749,18484,13487,1,42,-13.019732570386287,-69.94866707089272,0,-11.5,1571.5,1224.5,347.0,10.4,4.272958,
